OrderID,CustomerID,MenuItemID,OrderDate
1,31,8,2021-11-05
2,954,61,2021-07-19
3,305,7,2021-04-14
4,247,60,2021-11-23
5,214,13,2021-06-06
6,54,33,2021-12-09
7,747,17,2021-10-14
8,48,36,2021-01-02
9,260,42,2021-03-11
10,621,57,2021-10-03
11,102,44,2021-06-21
12,108,35,2021-03-18
13,611,53,2021-02-21
14,247,10,2021-03-26
15,166,40,2021-11-04
16,79,14,2021-02-25
17,774,1,2021-09-28
18,10,29,2021-03-11
19,904,61,2021-05-23
20,812,10,2021-02-28
21,740,43,2021-10-29
22,68,30,2021-01-10
23,840,42,2021-10-05
24,384,52,2021-03-22
25,147,2,2021-02-13
26,910,6,2021-12-03
27,868,46,2021-05-21
28,92,30,2021-10-28
29,878,59,2021-07-04
30,666,34,2021-10-11
31,485,30,2021-04-17
32,593,5,2021-03-15
33,419,42,2021-08-09
34,199,35,2021-01-05
35,494,21,2021-10-18
36,692,7,2021-04-26
37,421,26,2021-04-07
38,165,55,2021-02-05
39,903,11,2021-12-25
40,657,29,2021-02-16
41,323,9,2021-04-02
42,88,1,2021-01-16
43,994,39,2021-07-15
44,101,41,2021-01-09
45,214,51,2021-02-23
46,84,12,2021-12-20
47,16,60,2021-08-08
48,562,61,2021-08-25
49,33,27,2021-01-22
50,533,46,2021-06-29
51,553,53,2021-10-27
52,955,56,2021-09-28
53,885,14,2021-11-05
54,218,4,2021-05-13
55,962,52,2021-04-19
56,221,32,2021-05-17
57,598,60,2021-01-22
58,436,60,2021-11-17
59,769,26,2021-08-29
60,525,5,2021-11-27
61,626,28,2021-10-14
62,891,53,2021-10-30
63,340,18,2021-02-24
64,569,29,2021-04-05
65,552,8,2021-03-10
66,658,35,2021-09-12
67,739,56,2021-12-29
68,919,45,2021-01-25
69,580,19,2021-03-08
70,842,32,2021-10-14
71,597,56,2021-07-03
72,392,32,2021-03-26
73,526,39,2021-09-26
74,78,2,2021-05-17
75,698,46,2021-10-04
76,923,53,2021-04-03
77,587,45,2021-10-17
78,27,48,2021-12-23
79,346,31,2021-01-11
80,328,60,2021-04-08
81,146,14,2021-07-30
82,272,32,2021-05-28
83,294,18,2021-05-12
84,924,43,2021-05-08
85,396,56,2021-05-21
86,582,29,2021-04-26
87,466,52,2021-11-22
88,727,7,2021-12-31
89,945,28,2021-10-06
90,309,25,2021-03-18
91,226,9,2021-03-05
92,324,50,2021-02-04
93,701,32,2021-06-09
94,293,10,2021-09-23
95,268,58,2021-09-24
96,101,16,2021-05-03
97,750,43,2021-10-08
98,850,19,2021-09-25
99,209,28,2021-06-14
100,654,55,2021-10-17
101,559,33,2021-09-17
102,869,35,2021-02-19
103,650,55,2021-09-28
104,695,36,2021-10-22
105,916,41,2021-07-30
106,959,52,2021-12-21
107,294,48,2021-04-15
108,216,25,2021-10-22
109,808,57,2021-09-08
110,233,60,2021-10-04
111,352,4,2021-10-31
112,867,21,2021-06-26
113,751,11,2021-11-26
114,570,39,2021-01-06
115,772,50,2021-03-04
116,57,5,2021-04-06
117,4,37,2021-10-11
118,333,10,2021-08-14
119,7,23,2021-01-31
120,617,3,2021-05-01
121,834,5,2021-03-11
122,803,47,2021-03-11
123,916,21,2021-07-01
124,724,42,2021-04-29
125,652,50,2021-12-03
126,981,43,2021-02-19
127,366,45,2021-08-01
128,216,16,2021-02-01
129,56,48,2021-02-26
130,134,17,2021-07-21
131,900,8,2021-10-13
132,164,34,2021-05-09
133,938,29,2021-07-13
134,519,38,2021-08-22
135,866,17,2021-11-20
136,452,29,2021-04-23
137,903,12,2021-11-23
138,541,28,2021-01-19
139,819,7,2021-01-17
140,734,12,2021-05-11
141,598,21,2021-11-05
142,184,45,2021-05-27
143,565,38,2021-12-24
144,973,43,2021-09-19
145,108,60,2021-04-26
146,368,41,2021-09-22
147,660,46,2021-11-01
148,53,58,2021-07-23
